No,Tool,Category,Release,Best For / Use-Case,Website,Pricing Model,Free Tier / Trial,Paid Plans (USD per month unless noted),G2 Rating (n/a = no/limited G2 profile),Est. Monthly Web Visits,Est. Mobile MAU,Origin
22,Jasper,"Writing & Grammar",Jan 2021,"Brand-voice marketing copy",https://www.jasper.ai,Paid (trial),"7-day free trial","Creator $49; Pro $69; Business custom",4.7,0.81M,n/a,United States
23,Copy.ai,"Writing & Grammar",Oct 2020,"Sales & marketing content",https://www.copy.ai,Freemium,"Free forever","Starter ~$49; Advanced ~$249",4.7,0.65M,n/a,United States
24,Writesonic,"Writing & Grammar",Oct 2020,"SEO articles & blogs",https://writesonic.com,Freemium,"Free (credits)","Lite ~$20; Standard ~$99",4.7,0.91M,n/a,United States
25,Wordtune,"Writing & Grammar",Oct 2020,"Rewriting & tone control",https://www.wordtune.com,Freemium,"Free forever","Advanced ~$14; Unlimited ~$10 (annual)",4.6,0.85M,n/a,Israel
26,Rytr,"Writing & Grammar",Apr 2021,"Budget short-form copy",https://rytr.me,Freemium,"Free (10k chars/mo)","Unlimited ~$9; Premium ~$29",4.7,0.23M,n/a,United States
27,HyperWrite,"Writing & Grammar",2020,"Writing plus task automation",https://www.hyperwriteai.com,Freemium,"Free (limited)","Premium ~$20; Ultra ~$45",n/a,0.37M,n/a,United States
28,Midjourney,"Image Generation & Editing",Jul 2022,"Top-tier artistic images",https://www.midjourney.com,Paid,"No free tier","Basic $10; Standard $30; Pro $60; Mega $120 (20% off annual)",4.4,16.4M,n/a,United States
29,Leonardo AI,"Image Generation & Editing",Dec 2022,"Game & creative art assets",https://leonardo.ai,Freemium,"Free (daily tokens)","Apprentice ~$12; Artisan ~$30; Maestro ~$60",4.5,15.8M,n/a,Australia
30,Stable Diffusion,"Image Generation & Editing",Aug 2022,"Open-source / self-hosted images",https://stability.ai,Open source,"Free (self-host)","DreamStudio credits; API",n/a,2.8M,n/a,United Kingdom
31,Adobe Firefly,"Image Generation & Editing",Mar 2023,"Commercially-safe images in Adobe",https://firefly.adobe.com,Freemium,"Free (monthly credits)","Standard ~$10; Pro ~$30",4.4,n/a,n/a,United States
32,Ideogram,"Image Generation & Editing",Aug 2023,"Images with readable text",https://ideogram.ai,Freemium,"Free (limited)","Plus ~$8; Pro ~$20",n/a,n/a,n/a,Canada
33,Recraft,"Image Generation & Editing",2022,"Brand & vector design",https://www.recraft.ai,Freemium,"Free (daily credits)","Basic ~$12; Advanced ~$33",n/a,n/a,n/a,United Kingdom
34,Remove.bg,"Image Generation & Editing",Dec 2018,"Instant background removal",https://www.remove.bg,Freemium,"Free (low-res)","Lite EUR9 (40 credits); Pro EUR39 (200)",4.4,73.8M,n/a,Australia
35,PhotoRoom,"Image Generation & Editing",2019,"E-commerce product photos",https://www.photoroom.com,Freemium,"Free (watermark)","Pro ~$10",n/a,n/a,~50M,France
36,Freepik AI,"Image Generation & Editing",2023,"Stock-style assets & generation",https://www.freepik.com/ai,Freemium,"Free (limited)","Premium ~$12; Premium+ ~$25",n/a,n/a,n/a,Spain
37,Picsart,"Image Generation & Editing",2011,"Mobile photo/graphic editing",https://picsart.com,Freemium,"Free forever","Plus ~$5; Pro ~$13",4.3,n/a,~150M,United States
38,DeepAI,"Image Generation & Editing",2016,"Quick free image generation",https://deepai.org,Freemium,"Free (limited)","Pro ~$5",n/a,13.1M,n/a,United States
39,Microsoft Designer,"Image Generation & Editing",Oct 2023,"Social graphics via DALL-E",https://designer.microsoft.com,Freemium,"Free w/ Microsoft account","Included in M365",n/a,1.5M,n/a,United States
40,CapCut,"Video Generation & Editing",Apr 2020,"Social video editing with AI",https://www.capcut.com,Freemium,"Free forever","Pro ~$10",4.5,82.9M,~736M,Singapore
41,Runway,"Video Generation & Editing",2018,"Generative film & VFX",https://runwayml.com,Freemium,"Free (credits)","Standard $15; Pro $35; Unlimited $95",4.5,7.1M,n/a,United States
42,OpenAI Sora,"Video Generation & Editing",Dec 2024,"Text-to-video from OpenAI",https://openai.com/sora/,Paid,"Via ChatGPT Plus/Pro","In Plus $20 / Pro $200",n/a,n/a,n/a,United States
43,Google Veo (Flow),"Video Generation & Editing",May 2024,"Cinematic AI video (Google)",https://labs.google/flow/about,Paid,"Via Google AI plans","In AI Pro/Ultra",n/a,n/a,n/a,United States
44,Kling AI,"Video Generation & Editing",Jun 2024,"Realistic short AI video",https://www.klingai.com,Freemium,"Free (daily credits)","Standard ~$7; Pro ~$26",n/a,n/a,n/a,China
45,Synthesia,"Video Generation & Editing",2017,"Avatar explainer/training videos",https://www.synthesia.io,Freemium,"Free (3 min/mo)","Starter ~$18; Creator ~$64; Enterprise custom",4.7,2.7M,n/a,United Kingdom
46,HeyGen,"Video Generation & Editing",2020,"Avatars & video translation",https://www.heygen.com,Freemium,"Free (1 min/day)","Creator ~$29; Team ~$39/seat",4.6,16.5M,n/a,United States
47,InVideo,"Video Generation & Editing",2017,"Prompt-to-social-video",https://invideo.io,Freemium,"Free (weekly)","Plus ~$25; Max ~$60",4.6,11.7M,n/a,United States
48,OpusClip,"Video Generation & Editing",2023,"Long video into short clips",https://www.opus.pro,Freemium,"Free (limited)","Starter ~$15; Pro ~$29",4.6,9.1M,n/a,United States
49,Pictory,"Video Generation & Editing",2021,"Blog/script to video",https://pictory.ai,Paid (trial),"Free trial (3 videos)","Starter ~$25; Pro ~$59",4.7,2M,n/a,United States
50,Descript,"Video Generation & Editing",2017,"Edit video by editing text",https://www.descript.com,Freemium,"Free (1 hr/mo)","Hobbyist ~$16; Creator ~$24; Business ~$50",4.6,4.2M,n/a,United States
51,Luma Dream Machine,"Video Generation & Editing",Jun 2024,"Quick text/image-to-video",https://lumalabs.ai/dream-machine,Freemium,"Free (limited)","Standard ~$10; Plus ~$30; Unlimited ~$95",n/a,3.6M,n/a,United States
52,Filmora,"Video Generation & Editing",2015,"Desktop video editing",https://filmora.wondershare.com,Freemium,"Free (watermark)","Annual ~$50/yr; Perpetual ~$80",4.5,2.4M,n/a,China
53,Suno,"Audio, Music & Voice",Dec 2023,"Full songs from a prompt",https://suno.com,Freemium,"Free (50 credits/day)","Pro ~$10; Premier ~$30",4.5,85.5M,n/a,United States
54,Udio,"Audio, Music & Voice",Apr 2024,"AI music with vocals",https://www.udio.com,Freemium,"Free (credits)","Standard ~$10; Pro ~$30",n/a,n/a,n/a,United States
55,ElevenLabs,"Audio, Music & Voice",Jan 2022,"Realistic voiceover & cloning",https://elevenlabs.io,Freemium,"Free (10k credits/mo)","Starter $5; Creator $22; Pro $99; Scale $330; Business $1320",4.5,52.6M,n/a,United Kingdom
56,Murf.ai,"Audio, Music & Voice",2020,"Studio voiceovers for media",https://murf.ai,Freemium,"Free (10 min)","Creator ~$19; Business ~$66",4.6,1.1M,n/a,United States
57,Speechify,"Audio, Music & Voice",2017,"Listen to docs/articles (TTS reader)",https://speechify.com,Freemium,"Free forever","Premium ~$139/yr; Studio from ~$24",4.6,n/a,~30M+,United States
58,Resemble AI,"Audio, Music & Voice",2019,"Voice cloning & deepfake detection",https://www.resemble.ai,Paid,"Trial credits","Creator ~$29; Pro custom",n/a,0.53M,n/a,United States
59,Krisp,"Audio, Music & Voice",2018,"Noise-free calls & notes",https://krisp.ai,Freemium,"Free (limited min/day)","Pro ~$8; Business ~$15/seat",4.7,0.74M,n/a,United States
60,GitHub Copilot,"Coding & Development",Jun 2021,"In-IDE coding assistant",https://github.com/features/copilot,Freemium,"Free (limited)","Pro $10; Pro+ $39; Business $19/seat; Enterprise $39/seat",4.5,n/a,n/a,United States
61,Cursor,"Coding & Development",Mar 2023,"AI-native coding editor",https://cursor.com,Freemium,"Free Hobby","Pro $20; Pro+ $60; Ultra $200; Teams $40/seat",4.6,19.2M,n/a,United States
62,Replit,"Coding & Development",2016,"Build & deploy in the browser",https://replit.com,Freemium,"Free Starter","Core $20; Teams $35/seat",4.4,16.8M,n/a,United States
63,Lovable,"Coding & Development",Nov 2024,"Prompt-to-web-app (no-code)",https://lovable.dev,Freemium,"Free (daily credits)","Pro $25; Business $50; Enterprise custom",n/a,39.3M,n/a,Sweden
64,Bolt.new,"Coding & Development",Oct 2024,"In-browser full-stack builder",https://bolt.new,Freemium,"Free (daily tokens)","Pro $20; Pro 50 $50; higher tiers",n/a,n/a,n/a,United States
65,Windsurf,"Coding & Development",Nov 2024,"Agentic AI IDE",https://windsurf.com,Freemium,"Free (limited)","Pro $15; Teams $30/seat",n/a,n/a,n/a,United States
66,Tabnine,"Coding & Development",2018,"Privacy-first code completion",https://www.tabnine.com,Freemium,"Free (basic)","Dev $9; Enterprise $39/seat",4.1,0.16M,n/a,Israel
67,Vercel v0,"Coding & Development",Oct 2023,"UI/React from prompts",https://v0.app,Freemium,"Free (credits)","Premium $20; Team $30/seat",n/a,n/a,n/a,United States
68,Supabase,"Coding & Development",2020,"AI-assisted app backend",https://supabase.com,Freemium,"Free forever","Pro $25; Team $599; Enterprise custom",4.5,n/a,n/a,United States
69,Google AI Studio,"Coding & Development",2023,"Prototype with Gemini API",https://aistudio.google.com,Free,"Free (with limits)","Paid via Gemini API",n/a,69.1M,n/a,United States
70,Hugging Face,"Coding & Development",2016,"Models, datasets & ML apps",https://huggingface.co,Freemium,"Free forever","Pro $9; Team $20/seat; Enterprise custom",4.5,37.2M,n/a,United States
71,GitLab Duo,"Coding & Development",2023,"AI across DevSecOps",https://about.gitlab.com/gitlab-duo/,Freemium,"Free tier","Duo Pro $19/seat; Duo Enterprise custom",4.5,n/a,n/a,United States
72,Character.ai,"Companion & Character",Sep 2022,"Roleplay & character chat",https://character.ai,Freemium,"Free forever","c.ai+ ~$10",n/a,156.5M,~100M+,United States
73,NotebookLM,"Productivity & Knowledge",Jul 2023,"Research grounded in your docs",https://notebooklm.google.com,Freemium,"Free forever","Higher limits via Google AI plans",n/a,33.2M,n/a,United States
74,Notion AI,"Productivity & Knowledge",Feb 2023,"AI in your workspace/docs",https://www.notion.com/product/ai,Freemium,"Free (limited AI)","Plus $10; Business $20/seat (AI included)",4.7,n/a,n/a,United States
75,ClickUp Brain,"Productivity & Knowledge",2023,"AI across tasks & projects",https://clickup.com/ai,Freemium,"Free forever","Brain add-on ~$7/seat atop plans",4.7,n/a,n/a,United States
76,Miro AI,"Productivity & Knowledge",2023,"AI whiteboarding & brainstorming",https://miro.com,Freemium,"Free forever","Starter ~$8; Business ~$16/seat",4.7,n/a,n/a,United States
77,Asana AI,"Productivity & Knowledge",2023,"AI work management",https://asana.com,Freemium,"Free forever","Starter ~$11; Advanced ~$25/seat",4.4,n/a,n/a,United States
78,Airtable AI,"Productivity & Knowledge",2023,"AI in no-code databases",https://www.airtable.com,Freemium,"Free forever","Team ~$20; Business ~$45/seat",4.6,n/a,n/a,United States
79,Todoist AI,"Productivity & Knowledge",2023,"Smart task management",https://www.todoist.com,Freemium,"Free forever","Pro ~$4; Business ~$6/seat",4.4,n/a,n/a,United Kingdom
80,Mem,"Productivity & Knowledge",2019,"Self-organizing notes",https://get.mem.ai,Freemium,"Free (limited)","Mem+ ~$10",n/a,0.1M,n/a,United States
81,Canva Magic Studio,"Presentations & Design",2023,"Easy all-in-one design",https://www.canva.com/magic-studio/,Freemium,"Free forever","Pro $15; Teams $10/seat; Enterprise custom",4.7,870.4M,~230M,Australia
82,Gamma,"Presentations & Design",2022,"Fast AI presentations & sites",https://gamma.app,Freemium,"Free (credits)","Plus ~$10; Pro ~$20",4.8,24.4M,n/a,United States
83,Beautiful.ai,"Presentations & Design",2018,"Auto-designed slide decks",https://www.beautiful.ai,Paid (trial),"14-day trial","Pro ~$12; Team ~$40/seat",4.4,1.3M,n/a,United States
84,SlidesAI,"Presentations & Design",2022,"Slides from text in Google Slides",https://www.slidesai.io,Freemium,"Free (limited)","Pro ~$10; Premium ~$20",n/a,0.45M,n/a,United States
85,Adobe Express,"Presentations & Design",2021,"Quick branded social design",https://express.adobe.com,Freemium,"Free forever","Premium ~$10",n/a,n/a,n/a,United States
86,Figma AI,"Presentations & Design",2024,"AI in collaborative UI design",https://www.figma.com,Freemium,"Free (3 files)","Professional ~$16; Org ~$45/seat",4.7,n/a,n/a,United States
87,HubSpot AI,"Marketing, Sales & SEO",2023,"AI across CRM & marketing",https://www.hubspot.com/products/artificial-intelligence,Freemium,"Free CRM tools","Starter ~$20; Pro ~$100/seat",4.4,n/a,n/a,United States
88,Surfer SEO,"Marketing, Sales & SEO",2018,"Content optimization for search",https://surferseo.com,Paid (trial),"7-day money-back","Essential ~$99; Scale ~$219",4.8,n/a,n/a,Poland
89,Salesforce Einstein,"Marketing, Sales & SEO",Sep 2016,"AI/agents in Salesforce CRM",https://www.salesforce.com/artificial-intelligence/,Paid,"Trial","Add-on ~$50/seat; varies by cloud",4.4,n/a,n/a,United States
90,AdCreative.ai,"Marketing, Sales & SEO",2021,"High-converting ad creatives",https://www.adcreative.ai,Paid (trial),"7-day trial","Starter ~$39; Pro ~$249",4.4,n/a,n/a,France
91,Zapier AI,"Automation, Agents & No-code",2023,"No-code workflow automation",https://zapier.com/ai,Freemium,"Free (100 tasks/mo)","Pro ~$30; Team ~$104",4.5,8.4M,n/a,United States
92,n8n,"Automation, Agents & No-code",Jun 2019,"Open-source workflow automation",https://n8n.io,Open source / paid,"Free (self-host)","Starter ~$24; Pro ~$60; Enterprise custom",4.7,10.7M,n/a,Germany
93,Make,"Automation, Agents & No-code",2016,"Visual automation scenarios",https://www.make.com,Freemium,"Free (1k ops/mo)","Core ~$9; Pro ~$16; Teams ~$29",4.7,n/a,n/a,Czechia
94,Manus,"Automation, Agents & No-code",Mar 2025,"Autonomous multi-step agent",https://manus.im,Freemium,"Free (daily credits)","Starter ~$39; Pro ~$199",n/a,22.2M,n/a,Singapore
95,DeepL,"Translation & Language",Aug 2017,"Natural-sounding translation",https://www.deepl.com,Freemium,"Free forever","Starter ~$9; Advanced ~$29; Pro custom",4.6,169.4M,n/a,Germany
96,Duolingo Max,"Translation & Language",Mar 2023,"AI-tutored language learning",https://www.duolingo.com,Freemium,"Free forever (ads)","Super ~$13; Max ~$30",4.5,n/a,~100M+,United States
97,Otter.ai,"Meetings & Transcription",2016,"Live meeting transcription",https://otter.ai,Freemium,"Free (300 min/mo)","Pro ~$17; Business ~$30/seat",4.0,6.6M,n/a,United States
98,Fireflies.ai,"Meetings & Transcription",2019,"AI meeting notetaker",https://fireflies.ai,Freemium,"Free forever","Pro ~$18; Business ~$29/seat",4.7,n/a,n/a,United States
99,Quizlet,"Education & Research",2005,"AI study & flashcards",https://quizlet.com,Freemium,"Free forever","Plus ~$8",4.5,n/a,~50M+,United States
100,GPTZero,"Detection & Integrity",Jan 2023,"Detect AI-written text",https://gptzero.me,Freemium,"Free (limited scans)","Essential ~$10; Premium ~$24",n/a,n/a,n/a,United States
